Small Unit Installation Postcode,Jan 2001 - Installations Quantity,Apr 2001 - Installations Quantity,May 2001 - Installations Quantity,Jun 2001 - Installations Quantity,Jul 2001 - Installations Quantity,Aug 2001 - Installations Quantity,Sep 2001 - Installations Quantity,Oct 2001 - Installations Quantity,Nov 2001 - Installations Quantity,Dec 2001 - Installations Quantity,Jan 2002 - Installations Quantity,Feb 2002 - Installations Quantity,Mar 2002 - Installations Quantity,Apr 2002 - Installations Quantity,May 2002 - Installations Quantity,Jun 2002 - Installations Quantity,Jul 2002 - Installations Quantity,Aug 2002 - Installations Quantity,Sep 2002 - Installations Quantity,Oct 2002 - Installations Quantity,Nov 2002 - Installations Quantity,Dec 2002 - Installations Quantity,Installations Quantity Total
2117,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,3,0,1,0,0,0,0,8
2118,0,1,0,2,1,0,0,1,0,0,1,0,0,1,1,3,1,0,4,1,4,1,22
2119,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,2,0,0,1,10
2120,0,1,0,0,0,0,0,0,1,1,3,1,5,1,5,1,2,2,1,0,1,1,26
2121,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,1,2,1,1,13
2122,0,0,1,1,0,0,0,0,1,1,0,0,3,5,0,1,1,0,1,1,3,1,20
2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,8
2126,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,2,0,0,8
2127,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,5,6,10,11,0,2,6,56
2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2131,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6
2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
2133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,4
2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2135,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,7
2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
2137,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,4,1,0,0,12
2138,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6
2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
2141,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0,0,1,8
2142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
2143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,5
2144,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,4
2145,0,0,2,2,0,1,0,0,1,1,0,1,2,0,0,1,1,1,1,0,1,3,18
2146,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
2147,0,0,0,1,1,2,0,4,1,0,1,0,0,0,2,0,0,0,1,2,1,2,18
2148,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,2,0,0,0,2,1,1,13
2150,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,5
2151,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,1,0,0,1,0,8
2152,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,5
2153,0,0,1,1,1,1,0,1,0,1,0,4,2,1,1,0,1,1,3,4,2,4,29
2154,0,0,1,0,1,1,3,2,1,1,1,1,0,0,1,0,0,2,2,1,2,1,21
2155,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,0,3,6,6,1,23
2156,0,0,0,2,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,2,14
2157,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
2158,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3
2159,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,3,10
2160,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5
2161,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,6
2162,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
2163,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
2164,0,0,0,1,0,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,2,1,12
2165,0,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,12
2166,0,0,0,1,3,0,0,1,1,0,2,0,0,2,1,1,1,0,3,0,3,3,22
2167,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5
2168,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5
2170,0,0,1,1,3,0,0,1,1,3,1,1,2,2,1,0,2,1,2,3,3,1,29
2171,0,0,0,0,2,0,0,1,1,2,2,0,0,0,1,1,1,2,4,4,3,2,26
2172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2173,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2176,0,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,5,2,2,16
2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
